ORF, GSM114368, GSM114370, GSM114371, GSM114372, GSM114383, GSM114384, GSM114385, GSM114386, GSM114612, GSM114613, GSM114614, GSM114615, GSM116024, GSM116025, GSM116026, GSM116027, GSM116028, GSM116029, GSM116030, GSM116031
b3820,0.146982287,0.153639033,0.153639033,-0.080589214,-0.052903458,-0.052903458,-0.052903458,-0.052903458,-0.257535963,-0.293951787,-0.294886587,-0.34979717,-0.34979717,-0.538573104,-0.539722459,-0.578062339,-0.5420591,-0.553475743,-0.563438602,
b3821,0.300238696,0.300238696,0.300238696,0.300238696,0.300238696,0.300238696,0.300238696,-0.612228192,-0.612228192,-0.442164169,-0.442164169,-0.442164169,-0.265961639,-0.265961639,-0.161339452,-0.087927543,-0.136710892,-0.057655787,-0.057655787,0.003553873
b2519,0.314756715,0.314756715,-0.058595077,0.042619537,0.042619537,0.042619537,0.202477845,0.202477845,0.138019297,0.12505641,0.12505641,0.100028716,0.100028716,0.100028716,0.00847417,0.083393128,0.125506984,0.073085481,0.069573627,0.08538734
b3355,0.551893319,0.551893319,0.222492535,0.222492535,0.196850652,0.083718867,0.037855115,-0.104554621,-0.176318699,-0.150719501,-0.150719501,-0.214756108,-0.151677178,-0.126660393,-0.159054247,-0.145726704,-0.145726704,-0.104559708,-0.107918827,-0.095883944
b3352,0.094749717,0.253973876,0.10812656,0.067201118,0.067157945,0.059121432,0.059121432,0.127977283,0.208514851,0.226738968,0.191972239,0.193796997,0.168680677,0.161158067,0.143214521,0.14263432,0.158542201,0.134533627,0.159038195,0.144011184
b3353,0.102803501,0.102803501,0.18003248,0.18003248,0.066402706,-0.035812961,-0.035812961,-0.184582632,-0.184582632,-0.2502641,-0.2502641,-0.2502641,-0.214820258,-0.226044554,-0.226044554,-0.226044554,-0.169580442,-0.161099063,-0.123626963,-0.123106179
b3826,0.485063982,-0.319078944,0.310668433,-0.139372849,-0.139372849,-0.139372849,-0.139372849,-0.230700495,-0.224085682,-0.224085682,-0.224085682,-0.293682454,-0.237444191,-0.237444191,-0.295477207,-0.287518634,-0.28940775,-0.28940775,-0.233185698,-0.252281035
b3827,-0.613457061,-0.315653949,0.093294438,0.073104239,0.073104239,0.073104239,0.073104239,0.073104239,0.310386327,0.228181957,0.361492756,0.361492756,0.361492756,0.361492756,0.361492756,0.252779196,0.252779196,0.252779196,0.276347395,0.27279344
b2513,-0.314364069,-0.314364069,-0.314364069,-0.314364069,-0.095830068,-0.138841876,-0.146014219,-0.193898524,-0.21559985,-0.218628115,-0.166970631,-0.172773823,-0.139428873,-0.086112632,-0.09678858,-0.096468686,-0.166036241,-0.156215547,-0.157739292,-0.168102236
b2512,0.251892867,0.1896231,0.1896231,0.128692573,0.155720771,0.085449519,0.135672149,0.098986507,0.117822677,0.097447335,-0.001853152,-0.029489091,-0.050049001,-0.050049001,-0.04713862,-0.04713862,-0.093660936,-0.093660936,-0.088429328,-0.097261157
b2511,0.661567706,0.661567706,0.442001493,0.442001493,0.10669474,0.256253782,0.072433928,0.346784304,0.397124187,0.436785889,0.436785889,0.411121453,0.359755807,0.261433852,0.272299595,0.250152426,0.181662217,0.234227701,0.180700633,0.217229333
b2510,-0.085394527,0.008682292,0.118469311,0.118318487,0.118318487,0.118318487,0.118318487,-0.093900605,0.025480124,-0.010381234,-0.098814347,-0.06915106,-0.06915106,-0.140337113,-0.043962475,-0.046440822,-0.037916211,-0.004435415,-0.014503727,-0.024361495
